Hours,Sleep,Attendance,Previous_Score,Internet,Gender,Marks
2,4,77,55,Yes,Male,56
9,4,97,67,Yes,Male,100
4,5,92,78,Yes,Male,88
9,7,74,68,No,Male,98
7,6,77,49,Yes,Female,82
2,7,66,62,No,Female,57
8,8,67,99,No,Male,100
5,9,99,96,No,Male,97
1,9,74,89,No,Male,71
2,7,77,69,No,Male,67
6,5,77,84,Yes,Male,95
4,5,89,64,No,Male,80
6,4,74,92,Yes,Female,93
5,4,73,98,No,Male,91
8,7,89,49,No,Male,91
9,8,76,87,No,Female,100
4,5,92,71,Yes,Male,77
3,9,70,90,No,Male,83
7,8,89,73,No,Male,100
2,9,94,88,No,Female,78
5,7,70,69,Yes,Female,87
3,8,66,95,No,Male,78
6,5,94,89,Yes,Female,100
1,4,83,96,No,Male,62
4,8,65,45,No,Male,71
3,5,90,100,Yes,Female,88
10,7,73,99,Yes,Female,100
6,7,93,68,Yes,Male,92
2,6,61,77,Yes,Male,62
2,9,100,43,Yes,Male,66
6,4,92,55,No,Female,78
9,5,96,76,No,Male,100
7,5,66,46,No,Female,79
7,7,63,83,Yes,Male,98
6,4,75,52,Yes,Female,75
7,5,77,69,Yes,Male,93
9,4,63,81,Yes,Male,98
3,7,91,70,Yes,Female,74
3,7,60,64,No,Female,65
7,9,95,82,No,Male,100
5,5,63,77,Yes,Female,76
1,8,90,72,Yes,Male,75
2,5,64,78,Yes,Male,67
2,8,75,77,Yes,Male,76
10,8,93,60,No,Male,100
6,5,76,65,Yes,Female,87
6,4,60,69,Yes,Male,83
4,8,76,48,No,Male,70
6,6,70,68,No,Male,88
9,6,66,100,Yes,Female,100
2,9,95,49,No,Female,73
4,9,81,53,No,Female,76
1,4,100,67,No,Male,56
6,5,100,56,Yes,Female,91
7,8,60,47,Yes,Male,88
1,6,97,75,Yes,Female,68
1,6,83,97,Yes,Female,73
4,9,66,62,No,Male,74
3,5,86,41,Yes,Female,65
4,6,70,90,Yes,Female,79
8,5,72,92,No,Female,99
4,5,61,82,Yes,Female,77
5,4,77,62,No,Female,69
2,6,71,77,No,Male,63
10,7,82,86,No,Female,100
9,4,84,97,Yes,Female,100
7,4,93,99,Yes,Female,100
2,9,81,79,No,Male,75
9,6,86,60,No,Female,100
3,5,86,82,No,Male,79
10,6,85,75,Yes,Female,100
4,7,97,78,No,Female,88
8,9,73,72,No,Male,100
2,6,92,82,No,Male,72
5,5,72,49,Yes,Male,71
8,8,64,69,No,Male,97
8,7,75,49,Yes,Male,94
4,5,93,69,Yes,Male,76
8,5,89,82,No,Female,100
9,7,95,68,Yes,Female,100
5,5,100,57,No,Male,79
8,4,78,55,No,Female,87
9,4,68,49,Yes,Female,87
4,4,86,66,No,Female,74
1,5,86,64,Yes,Female,64
1,6,79,88,No,Female,71
9,8,74,71,Yes,Female,100
8,4,84,61,No,Male,92
3,8,94,41,No,Male,65
7,5,89,51,Yes,Female,89
6,5,89,60,No,Female,82
7,6,65,70,Yes,Male,91
4,9,64,89,Yes,Male,86
4,4,99,49,Yes,Male,75
2,8,73,69,No,Female,65
10,8,67,89,Yes,Female,100
10,4,79,76,No,Female,100
2,8,100,55,Yes,Female,78
10,4,96,90,Yes,Female,100
7,9,83,44,No,Male,90
8,4,87,63,No,Male,93
3,9,93,81,No,Female,87
7,9,97,57,No,Male,93
5,7,75,88,No,Female,89
1,7,80,51,No,Male,57
5,6,77,96,No,Male,93
4,4,75,86,No,Female,80
4,9,90,81,No,Female,84
2,6,74,65,Yes,Female,71
10,6,90,75,No,Female,100
6,6,89,57,No,Female,82
2,9,72,60,Yes,Male,68
4,9,90,57,No,Male,78
5,5,83,51,No,Male,77
3,6,62,43,No,Male,63
8,4,60,76,No,Female,92
8,6,71,43,No,Female,81
2,7,91,44,Yes,Male,62
10,6,65,55,Yes,Female,100
10,8,74,89,No,Female,100
5,8,87,59,Yes,Male,84
4,6,65,50,Yes,Male,72
2,5,60,66,No,Female,57
1,5,78,85,No,Female,60
4,6,100,77,Yes,Female,83
9,5,69,98,No,Male,100
